            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2459662.500000000, A.D. 2022-Mar-24 00:00:00.0000, -1.502287102265819E+08, -7.474042656405087E+06,  2.895683052825741E+04,
2459663.500000000, A.D. 2022-Mar-25 00:00:00.0000, -1.501138972689002E+08, -1.005389850201504E+07,  2.919007110289996E+04,
2459664.500000000, A.D. 2022-Mar-26 00:00:00.0000, -1.499546610693983E+08, -1.263090130732897E+07,  2.940829113339446E+04,
2459665.500000000, A.D. 2022-Mar-27 00:00:00.0000, -1.497510237813893E+08, -1.520427523778174E+07,  2.960734348383080E+04,
2459666.500000000, A.D. 2022-Mar-28 00:00:00.0000, -1.495030259365935E+08, -1.777323119502031E+07,  2.978430711746868E+04,
2459667.500000000, A.D. 2022-Mar-29 00:00:00.0000, -1.492107302174159E+08, -2.033696924730195E+07,  2.993765246242471E+04,
2459668.500000000, A.D. 2022-Mar-30 00:00:00.0000, -1.488742244044012E+08, -2.289468201025296E+07,  3.006729491998348E+04,
2459669.500000000, A.D. 2022-Mar-31 00:00:00.0000, -1.484936232391599E+08, -2.544555870349509E+07,  3.017453209264390E+04,
2459670.500000000, A.D. 2022-Apr-01 00:00:00.0000, -1.480690690225921E+08, -2.798878949406481E+07,  3.026187245586514E+04,
2459671.500000000, A.D. 2022-Apr-02 00:00:00.0000, -1.476007309350336E+08, -3.052356965649897E+07,  3.033277987857908E+04,
2459672.500000000, A.D. 2022-Apr-03 00:00:00.0000, -1.470888032811674E+08, -3.304910310337687E+07,  3.039137297570892E+04,
2459673.500000000, A.D. 2022-Apr-04 00:00:00.0000, -1.465335030427698E+08, -3.556460498847057E+07,  3.044212345828116E+04,
2459674.500000000, A.D. 2022-Apr-05 00:00:00.0000, -1.459350671916971E+08, -3.806930330719827E+07,  3.048959069063701E+04,
2459675.500000000, A.D. 2022-Apr-06 00:00:00.0000, -1.452937501568927E+08, -4.056243963057946E+07,  3.053821393677220E+04,
2459676.500000000, A.D. 2022-Apr-07 00:00:00.0000, -1.446098216939850E+08, -4.304326924283820E+07,  3.059216591022164E+04,
2459677.500000000, A.D. 2022-Apr-08 00:00:00.0000, -1.438835652378719E+08, -4.551106099035393E+07,  3.065525690530613E+04,
2459678.500000000, A.D. 2022-Apr-09 00:00:00.0000, -1.431152766758229E+08, -4.796509711141384E+07,  3.073087040498853E+04,
2459679.500000000, A.D. 2022-Apr-10 00:00:00.0000, -1.423052633797342E+08, -5.040467323552998E+07,  3.082190820202976E+04,
2459680.500000000, A.D. 2022-Apr-11 00:00:00.0000, -1.414538432780252E+08, -5.282909864213371E+07,  3.093072420763969E+04,
2459681.500000000, A.D. 2022-Apr-12 00:00:00.0000, -1.405613437217873E+08, -5.523769675875925E+07,  3.105903024816141E+04,
2459682.500000000, A.D. 2022-Apr-13 00:00:00.0000, -1.396280999072726E+08, -5.762980575443690E+07,  3.120776457355171E+04,
2459683.500000000, A.D. 2022-Apr-14 00:00:00.0000, -1.386544526762521E+08, -6.000477894342495E+07,  3.137692596143484E+04,
2459684.500000000, A.D. 2022-Apr-15 00:00:00.0000, -1.376407456599007E+08, -6.236198457838155E+07,  3.156539441481978E+04,
2459685.500000000, A.D. 2022-Apr-16 00:00:00.0000, -1.365873219850029E+08, -6.470080454174557E+07,  3.177078187984228E+04,
2459686.500000000, A.D. 2022-Apr-17 00:00:00.0000, -1.354945210948080E+08, -6.702063153781830E+07,  3.198937554907799E+04,
2459687.500000000, A.D. 2022-Apr-18 00:00:00.0000, -1.343626765250712E+08, -6.932086472713266E+07,  3.221623844032362E+04,
2459688.500000000, A.D. 2022-Apr-19 00:00:00.0000, -1.331921155144932E+08, -7.160090429124536E+07,  3.244550423659384E+04,
2459689.500000000, A.D. 2022-Apr-20 00:00:00.0000, -1.319831609673250E+08, -7.386014594505803E+07,  3.267084739953652E+04,
2459690.500000000, A.D. 2022-Apr-21 00:00:00.0000, -1.307361356037915E+08, -7.609797660656014E+07,  3.288604892266914E+04,
2459691.500000000, A.D. 2022-Apr-22 00:00:00.0000, -1.294513674637038E+08, -7.831377212590851E+07,  3.308554626216739E+04,
2459692.500000000, A.D. 2022-Apr-23 00:00:00.0000, -1.281291956267665E+08, -8.050689732660899E+07,  3.326487012683973E+04,
2459693.500000000, A.D. 2022-Apr-24 00:00:00.0000, -1.267699751809148E+08, -8.267670798738003E+07,  3.342091789431125E+04,
2459694.500000000, A.D. 2022-Apr-25 00:00:00.0000, -1.253740809126234E+08, -8.482255407435256E+07,  3.355206356444210E+04,
2459695.500000000, A.D. 2022-Apr-26 00:00:00.0000, -1.239419096245603E+08, -8.694378354805626E+07,  3.365813488107920E+04,
2459696.500000000, A.D. 2022-Apr-27 00:00:00.0000, -1.224738812374350E+08, -8.903974626514398E+07,  3.374029575551301E+04,
2459697.500000000, A.D. 2022-Apr-28 00:00:00.0000, -1.209704388999021E+08, -9.110979770011409E+07,  3.380086561677977E+04,
2459698.500000000, A.D. 2022-Apr-29 00:00:00.0000, -1.194320482985040E+08, -9.315330233806995E+07,  3.384309803470969E+04,
2459699.500000000, A.D. 2022-Apr-30 00:00:00.0000, -1.178591963174356E+08, -9.516963663386580E+07,  3.387093547155708E+04,
2459700.500000000, A.D. 2022-May-01 00:00:00.0000, -1.162523891910374E+08, -9.715819144022180E+07,  3.388875617299974E+04,
2459701.500000000, A.D. 2022-May-02 00:00:00.0000, -1.146121503189677E+08, -9.911837382505153E+07,  3.390113022846729E+04,
2459702.500000000, A.D. 2022-May-03 00:00:00.0000, -1.129390179451293E+08, -1.010496082495595E+08,  3.391260123635828E+04,
2459703.500000000, A.D. 2022-May-04 00:00:00.0000, -1.112335429045919E+08, -1.029513371564759E+08,  3.392750585779548E+04,
2459704.500000000, A.D. 2022-May-05 00:00:00.0000, -1.094962866031397E+08, -1.048230210958834E+08,  3.394983623233438E+04,
2459705.500000000, A.D. 2022-May-06 00:00:00.0000, -1.077278193187687E+08, -1.066641385677470E+08,  3.398314178623259E+04,
2459706.500000000, A.D. 2022-May-07 00:00:00.0000, -1.059287188235844E+08, -1.084741857716466E+08,  3.403045964793861E+04,
2459707.500000000, A.D. 2022-May-08 00:00:00.0000, -1.040995692382180E+08, -1.102526764260128E+08,  3.409425813765079E+04,
2459708.500000000, A.D. 2022-May-09 00:00:00.0000, -1.022409599613338E+08, -1.119991417592420E+08,  3.417637607526779E+04,
2459709.500000000, A.D. 2022-May-10 00:00:00.0000, -1.003534844694035E+08, -1.137131306893493E+08,  3.427794201873988E+04,
2459710.500000000, A.D. 2022-May-11 00:00:00.0000, -9.843773876306464E+07, -1.153942100970134E+08,  3.439926248912513E+04,
2459711.500000000, A.D. 2022-May-12 00:00:00.0000, -9.649431926363644E+07, -1.170419649567917E+08,  3.453967816915363E+04,
2459712.500000000, A.D. 2022-May-13 00:00:00.0000, -9.452382007157244E+07, -1.186559979340670E+08,  3.469740389294922E+04,
2459713.500000000, A.D. 2022-May-14 00:00:00.0000, -9.252682973044789E+07, -1.202359279302250E+08,  3.486939229488373E+04,
2459714.500000000, A.D. 2022-May-15 00:00:00.0000, -9.050392800576204E+07, -1.217813870729335E+08,  3.505128691261262E+04,
2459715.500000000, A.D. 2022-May-16 00:00:00.0000, -8.845568359343487E+07, -1.232920159424238E+08,  3.523754350750893E+04,
2459716.500000000, A.D. 2022-May-17 00:00:00.0000, -8.638265387283531E+07, -1.247674574560326E+08,  3.542177713912725E+04,
